Rk,G,Playoffs,Series,Tm,Opp,G#,Score,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-',Year
250,11,2020-09-18,WCF,LAL,DEN,1,W (+12),1,30:54:00,6,11,0.545,0,2,0,3,4,0.75,1,5,6,12,0,0,3,2,15,16.1,15,2020
251,12,2020-09-20,WCF,LAL,DEN,2,W (+2),1,36:25:00,10,20,0.5,3,8,0.375,3,4,0.75,2,9,11,4,0,2,6,2,26,17.1,-9,2020
252,13,2020-09-22,WCF,LAL,DEN,3,L (-8),1,37:15:00,14,23,0.609,1,4,0.25,1,2,0.5,1,9,10,11,2,2,6,1,30,27.2,2,2020
253,14,2020-09-24,WCF,LAL,DEN,4,W (+6),1,38:21:00,7,18,0.389,1,3,0.333,11,14,0.786,1,8,9,8,0,0,0,2,26,22.9,8,2020
254,15,2020-09-26,WCF,LAL,DEN,5,W (+10),1,40:01:00,15,25,0.6,1,4,0.25,7,8,0.875,3,13,16,10,1,0,2,2,38,37.3,12,2020
255,16,2020-09-30,FIN,LAL,MIA,1,W (+18),1,36:24:00,9,17,0.529,2,4,0.5,5,6,0.833,1,12,13,9,1,0,2,3,25,24.7,10,2020
256,17,2020-10-02,FIN,LAL,MIA,2,W (+10),1,39:09:00,14,25,0.56,3,8,0.375,2,5,0.4,2,7,9,9,1,1,0,2,33,30.6,7,2020
257,18,2020-10-04,FIN,LAL,MIA,3,L (-11),1,39:13:00,9,16,0.563,1,5,0.2,6,9,0.667,1,9,10,8,0,2,8,2,25,17.8,-4,2020
258,19,2020-10-06,FIN,LAL,MIA,4,W (+6),1,38:38:00,8,16,0.5,2,5,0.4,10,12,0.833,2,10,12,8,1,0,6,2,28,23.4,-2,2020
259,20,2020-10-09,FIN,LAL,MIA,5,L (-3),1,41:51:00,15,21,0.714,6,9,0.667,4,6,0.667,3,10,13,7,3,0,4,1,40,39.1,7,2020
260,21,2020-10-11,FIN,LAL,MIA,6,W (+13),1,41:13:00,13,20,0.65,1,5,0.2,1,4,0.25,3,11,14,10,1,0,1,3,28,29.2,18,2020
261,1,2021-05-23,WC1,LAL,PHO,1,L (-9),1,36:04:00,6,13,0.462,3,7,0.429,3,6,0.5,1,6,7,10,3,0,5,1,18,17.2,2,2021
262,2,2021-05-25,WC1,LAL,PHO,2,W (+7),1,38:54:00,9,16,0.563,4,9,0.444,1,1,1,0,4,4,9,2,0,1,3,23,22.7,14,2021
263,3,2021-05-27,WC1,LAL,PHO,3,W (+14),1,37:45:00,9,19,0.474,1,5,0.2,2,3,0.667,1,5,6,9,1,0,7,0,21,13.4,15,2021
264,4,2021-05-30,WC1,LAL,PHO,4,L (-8),1,37:50:00,10,21,0.476,1,7,0.143,4,7,0.571,2,10,12,6,1,0,6,1,25,16.3,6,2021
265,5,2021-06-01,WC1,LAL,PHO,5,L (-30),1,31:39:00,9,19,0.474,6,10,0.6,0,0,,1,4,5,7,0,0,3,1,24,17.7,-24,2021
266,6,2021-06-03,WC1,LAL,PHO,6,L (-13),1,41:25:00,11,26,0.423,3,10,0.3,4,6,0.667,2,7,9,7,2,2,3,1,29,22.8,-3,2021
267,1,2023-04-16,WC1,LAL,MEM,1,W (+16),1,34:01:00,8,16,0.5,3,8,0.375,2,4,0.5,2,9,11,5,2,3,5,1,21,18.5,7,2023
268,2,2023-04-19,WC1,LAL,MEM,2,L (-10),1,38:53:00,12,23,0.522,1,8,0.125,3,4,0.75,2,10,12,3,1,1,1,1,28,23.1,-17,2023
269,3,2023-04-22,WC1,LAL,MEM,3,W (+10),1,36:00:00,10,20,0.5,0,4,0,5,7,0.714,2,7,9,5,1,1,3,3,25,18.7,-6,2023
270,4,2023-04-24,WC1,LAL,MEM,4,W (+6),1,45:28:00,8,18,0.444,1,7,0.143,5,7,0.714,5,15,20,7,0,2,1,3,22,23.9,8,2023
271,5,2023-04-26,WC1,LAL,MEM,5,L (-17),1,36:57:00,5,17,0.294,1,9,0.111,4,6,0.667,2,8,10,5,1,1,5,1,15,7.9,-1,2023
272,6,2023-04-28,WC1,LAL,MEM,6,W (+40),1,31:15:00,9,13,0.692,2,5,0.4,2,3,0.667,1,4,5,6,1,0,3,2,22,19.4,32,2023
273,7,2023-05-02,WCS,LAL,GSW,1,W (+5),1,40:05:00,9,24,0.375,1,8,0.125,3,4,0.75,2,9,11,4,0,3,4,0,22,13.4,1,2023
274,8,2023-05-04,WCS,LAL,GSW,2,L (-27),1,28:07:00,10,18,0.556,3,8,0.375,0,0,,0,7,7,3,1,0,0,3,23,18.4,-27,2023
275,9,2023-05-06,WCS,LAL,GSW,3,W (+30),1,32:23:00,6,11,0.545,2,4,0.5,7,8,0.875,1,7,8,8,0,1,0,0,21,24.4,26,2023
276,10,2023-05-08,WCS,LAL,GSW,4,W (+3),1,42:57:00,10,25,0.4,2,9,0.222,5,5,1,2,7,9,6,0,1,3,3,27,17.7,-8,2023
277,11,2023-05-10,WCS,LAL,GSW,5,L (-15),1,39:10:00,9,17,0.529,3,7,0.429,4,4,1,1,8,9,3,2,1,4,3,25,19.4,-16,2023
278,12,2023-05-12,WCS,LAL,GSW,6,W (+21),1,43:08:00,10,14,0.714,2,3,0.667,8,11,0.727,0,9,9,9,2,1,2,2,30,31.9,21,2023
279,13,2023-05-16,WCF,LAL,DEN,1,L (-6),1,39:52:00,9,16,0.563,0,4,0,8,11,0.727,3,9,12,9,0,1,3,1,26,25.6,-6,2023
280,14,2023-05-18,WCF,LAL,DEN,2,L (-5),1,40:08:00,9,19,0.474,0,6,0,4,4,1,0,9,9,10,4,2,3,2,22,23.6,4,2023
281,15,2023-05-20,WCF,LAL,DEN,3,L (-11),1,42:57:00,8,19,0.421,3,9,0.333,4,7,0.571,0,7,7,12,0,0,2,2,23,19.4,-4,2023
282,16,2023-05-22,WCF,LAL,DEN,4,L (-2),1,47:56:00,15,25,0.6,4,7,0.571,6,7,0.857,2,8,10,9,2,0,1,1,40,38.8,-2,2023
