Rk,G,Playoffs,Series,Tm,Opp,G#,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-',Year
12,3,1998-04-28,WC1,LAL,POR,3,0,15:46,1,6,0.167,0,2,0,2,2,1,3,2,5,0,0,0,1,3,4,0.7,-11,1998
13,4,1998-04-30,WC1,LAL,POR,4,0,36:25:00,9,16,0.563,1,1,1,3,4,0.75,0,3,3,4,0,1,1,4,22,15.8,21,1998
14,5,1998-05-04,WCS,LAL,SEA,1,0,16:09,1,5,0.2,0,2,0,2,4,0.5,1,0,1,0,1,1,0,2,4,1.7,-16,1998
15,6,1998-05-10,WCS,LAL,SEA,4,0,3:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,1,1998
16,7,1998-05-12,WCS,LAL,SEA,5,0,11:03,3,3,1,1,1,1,0,0,,0,1,1,0,0,1,1,2,7,5.3,-6,1998
17,8,1998-05-16,WCF,LAL,UTA,1,0,31:28:00,4,14,0.286,0,5,0,8,12,0.667,2,2,4,2,0,1,0,0,16,10.3,-20,1998
18,9,1998-05-18,WCF,LAL,UTA,2,0,21:47,3,10,0.3,0,1,0,3,4,0.75,1,1,2,1,0,0,2,3,9,1.3,-6,1998
19,10,1998-05-22,WCF,LAL,UTA,3,0,15:17,2,4,0.5,0,1,0,5,7,0.714,0,0,0,1,0,0,2,4,9,3.3,-2,1998
20,11,1998-05-24,WCF,LAL,UTA,4,0,18:52,2,2,1,0,0,,2,3,0.667,0,1,1,0,1,1,3,3,6,2.8,0,1998
21,1,1999-05-09,WC1,LAL,HOU,1,1,28:32:00,5,9,0.556,1,1,1,6,6,1,0,5,5,5,0,1,2,4,17,14.8,0,1999
22,2,1999-05-11,WC1,LAL,HOU,2,1,37:51:00,8,15,0.533,1,3,0.333,2,2,1,2,7,9,5,3,1,4,1,19,18,26,1999
23,3,1999-05-13,WC1,LAL,HOU,3,1,34:43:00,5,17,0.294,1,4,0.25,2,2,1,4,5,9,5,2,4,3,3,13,11.5,0,1999
24,4,1999-05-15,WC1,LAL,HOU,4,1,47:38:00,9,25,0.36,1,3,0.333,5,6,0.833,1,5,6,8,3,2,3,1,24,18.5,11,1999
25,5,1999-05-17,WCS,LAL,SAS,1,1,35:50:00,8,17,0.471,0,1,0,5,6,0.833,2,4,6,6,3,1,7,2,21,14.6,-5,1999
26,6,1999-05-19,WCS,LAL,SAS,2,1,47:41:00,12,25,0.48,1,3,0.333,3,5,0.6,1,7,8,4,0,0,5,3,28,13.9,-3,1999
27,7,1999-05-22,WCS,LAL,SAS,3,1,44:18:00,7,18,0.389,2,5,0.4,4,6,0.667,0,4,4,1,4,1,4,4,20,10.4,-6,1999
28,8,1999-05-23,WCS,LAL,SAS,4,1,40:27:00,7,16,0.438,1,3,0.333,1,2,0.5,3,5,8,3,0,0,3,6,16,7.5,-16,1999
29,1,2000-04-23,WC1,LAL,SAC,1,1,38:39:00,11,22,0.5,0,1,0,1,2,0.5,5,2,7,5,0,0,3,5,23,14.2,4,2000
30,2,2000-04-27,WC1,LAL,SAC,2,1,36:45:00,12,20,0.6,3,3,1,5,6,0.833,0,4,4,1,2,0,1,2,32,24.5,17,2000
31,3,2000-04-30,WC1,LAL,SAC,3,1,37:32:00,13,25,0.52,2,6,0.333,7,9,0.778,1,2,3,2,2,0,2,5,35,22.6,-12,2000
32,4,2000-05-02,WC1,LAL,SAC,4,1,45:48:00,13,30,0.433,0,3,0,6,8,0.75,2,4,6,4,2,0,7,4,32,14.2,-10,2000
33,5,2000-05-05,WC1,LAL,SAC,5,1,33:54:00,7,16,0.438,1,5,0.2,2,2,1,0,2,2,6,0,3,1,2,17,13.7,23,2000
34,6,2000-05-07,WCS,LAL,PHO,1,1,34:27:00,8,17,0.471,1,2,0.5,8,10,0.8,3,3,6,1,3,3,3,4,25,19.7,6,2000
35,7,2000-05-10,WCS,LAL,PHO,2,1,33:47:00,6,11,0.545,0,1,0,3,4,0.75,0,4,4,6,2,2,5,4,15,11.5,2,2000
36,8,2000-05-12,WCS,LAL,PHO,3,1,47:34:00,8,20,0.4,0,2,0,9,13,0.692,2,3,5,2,2,2,3,4,25,15.1,8,2000
37,9,2000-05-14,WCS,LAL,PHO,4,1,36:54:00,10,20,0.5,0,5,0,3,6,0.5,1,2,3,5,2,0,2,4,23,15,-17,2000
38,10,2000-05-16,WCS,LAL,PHO,5,1,34:07:00,6,16,0.375,1,3,0.333,4,4,1,1,0,1,3,1,0,2,3,17,8.8,22,2000
39,11,2000-05-20,WCF,LAL,POR,1,1,38:11:00,4,9,0.444,0,1,0,5,7,0.714,1,2,3,6,1,1,1,5,13,11.7,19,2000
40,12,2000-05-22,WCF,LAL,POR,2,1,41:43:00,2,9,0.222,1,2,0.5,7,8,0.875,0,2,2,4,2,1,2,5,12,8.2,-28,2000
41,13,2000-05-26,WCF,LAL,POR,3,1,47:44:00,11,18,0.611,1,1,1,2,2,1,2,5,7,7,2,1,3,5,25,22.3,2,2000
42,14,2000-05-28,WCF,LAL,POR,4,1,45:47:00,5,15,0.333,2,3,0.667,6,7,0.857,1,3,4,7,2,3,3,4,18,15.1,12,2000
